"","x"
"1","on shift in an east london hospital   on one floor there is hope hope of the vaccine rollout   on another floor th  t co q rjff be"
"2","omg so many people have died in los angeles county that officials have temporarily suspended air quality regulatio  t co zemtme s c"
"3","if you are entering the us by plane after january you need to show that you have tested negative for covid   t co evr jsunrm"
"4"," it is crucial we do not forget those who have constantly been at the back of the queue people with learning disabilitie "
"5"," the met police commissioner has told lbc there is a very strong case for frontline officers to be moved up the covid vaccine prior "
"6"," on shift in an east london hospital   on one floor there is hope hope of the vaccine rollout   on another floor there is hor "
"7"," there s no way they ve vaccinated million people lies just like the tests people have started to audit vaccine centre "
"8"," sir was this in connection with covid vaccine support "
"9"," surely if a death within days or is it days of a positive covid test is a covid death then death withi "
"10"," a scam text message is asking patients to give bank details to secure a covid vaccine the jab is available on the nhs "
"11"," dear tories  i know you are desperate for us to say how wonderfully you are doing on the vaccine and that we shouldn t tal "
"12","almost people die till date all over india after covid vaccination  govt said this deaths is not related to v  t co j yup dg g"
"13","expected side effects that are not serious and mostly gone within hrs  t co h rfpvmwh "
"14"," a friend works at a university attached to a london hospital he along with colleagues got the vaccine yday because of no shows "
"15","love that year old dorothy submitted a picture of herself with a massive plate of fish and chips with a side ord  t co yn mfg h x"
"16"," if labour had won the ge just over a year ago corbyn would have limited covid jabs for uk citizens to increase the jabs avai "
"17"," so the theme of my shift was elderly people who had received a first dose of vaccine last week coming in dying of covid "
"18"," what an absolute idiot what is wrong with him   corbyn attacks boris for vaccine nationalism   demands jabs given aw "
"19"," dear tories  i know you are desperate for us to say how wonderfully you are doing on the vaccine and that we shouldn t tal "
"20"," steve clarke electro biomedical engineering manager at explained   has already demonstrated their capabi "
"21"," vaccine possing title goes to portuguese pm  however portuguese pm didn t go for mountain  t co qqox qmrda"
"22"," rahul gandhi spared no opportunity to demotivate the nation in the spirited fight against covid today when india has one o "
"23"," people from minority ethnic backgrounds have been targeted by misinformation about the covid vaccines   they are safe and "
"24"," on shift in an east london hospital   on one floor there is hope hope of the vaccine rollout   on another floor there is hor "
"25","my mums fiance is an nhs worker and he contracted covid just prior to getting the vaccine and now both he and my  t co vozgkhjywl"
"26"," i am just so frustrated the point of the vaccine  i spell it out now  it saves you from death   taking up a bed  you va "
"27"," tell your siblings that the vaccine is experimental and the trial for the vaccine is still  t co xlzxgpsett"
"28"," how does a mrna vaccine work       it contains the  instructions  from the virus that causes covid      it allows the body "
"29"," thai activists raised a sign monopolize covid vaccine to put on an act for king at icon siam but some of them were b "
"30"," care home workers can now get the free mhra approved vaccine don t forget you need two doses to be protected against co "
"31"," rahul gandhi spared no opportunity to demotivate the nation in the spirited fight against covid today when india has one o "
"32"," can you please investigate the fertility issues regarding the covid vaccine as there is no data on the go  t co wl le bag "
"33"," elderly people die within days of receiving first covid vaccine dose in norway"
"34"," norway upped the number of deaths under investigation from last week to while in germany health officials s "
"35"," uk health service to use blockchain to monitor covid vaccine storage t co ehcxiivhmo"
"36"," on shift in an east london hospital   on one floor there is hope hope of the vaccine rollout   on another floor there is hor "
"37","moving to hear the utter joy and relief from people who have had their covid vaccine "
"38","on tv vaccine clinic opens for and older in durham sign ups begin in wake county t co qmuyvktpcp"
"39"," zweli mkhize tells the western cape it is unnecessary to procure its own covid vaccine because national government on whose "
"40","uk health service to use blockchain to monitor covid vaccine storage t co fkpwly ji "
"41","there r others quite a few were twitching after vaccine future problems still unknown i warned people about chic  t co qdnpg rdq"
"42"," unfortunately clean and safe air is still not important enough as an election issue otherwise the bjp would have promise "
